# name, mass, mass_error_min, mass_error_max, radius, radius_error_min, radius_error_max, orbital_period, orbital_period_err_min, orbital_period_err_max, semi_major_axis, semi_major_axis_error_min, semi_major_axis_error_max, eccentricity, eccentricity_error_min, eccentricity_error_max, angular_distance, inclination, inclination_error_min, inclination_error_max, tzero_tr, tzero_tr_error_min, tzero_tr_error_max, tzero_tr_sec, tzero_tr_sec_error_min, tzero_tr_sec_error_max, lambda_angle, lambda_angle_error_min, lambda_angle_error_max, tzero_vr, tzero_vr_error_min, tzero_vr_error_max, temp_calculated, temp_measured, hot_point_lon, log_g, publication_status, discovered, updated, omega, omega_error_min, omega_error_max, tperi, tperi_error_min, tperi_error_max, detection_type, molecules, star_name, ra, dec, mag_v, mag_i, mag_j, mag_h, mag_k, star_distance, star_metallicity, star_mass, star_radius, star_sp_type, star_age, star_teff
HD 8535 b,0.68,0.04,0.07,,,,1313,28,28,2.45,0.06,0.06,0.15,0.05,0.05,0.046667,,,,,,,,,,,,,,,,,,,,2,2009,9/8/2010,61,43,43,4537,92,92,detected by radial velocity,,HD 8535,20.9041667,-41.2697222,7.7,,,,,52.5,0.02,1.13,1.19,G0V,,6136
HD 85390 b,0.132,0.01,0.01,,,,788,25,25,1.52,0.04,0.04,0.41,0.12,0.12,0.044759,,,,,,,,,,,,,,,,,,,,1,2009,7/4/2013,-94,23,23,,,,detected by radial velocity,,HD 85390,147.5083333,-49.7902778,8.54,,,,,33.96,-0.07,0.76,,K1V,7.2,5186
HD 85390 c,0.2,0.02,0.02,,,,3700,840,840,4.23,0.09,0.09,0,0.07,0.07,,,,,,,,,,,,,,,,,,,,,1,2013,7/4/2013,0,49,49,,,,detected by radial velocity,,HD 85390,147.5083333,-49.7902778,8.54,,,,,33.96,-0.07,0.76,,K1V,7.2,5186
HD 85512 b,0.011,0.0016,0.0016,,,,58.43,0.13,0.13,0.26,0.005,0.005,0.11,0.1,0.1,0.023318,,,,,,,,,,,,,,,,,,,,1,2011,9/2/2011,178,0.58,0.58,2455239.709,,,detected by radial velocity,,HD 85512,147.7791667,-43.5027778,7.67,,,,,11.15,-0.33,0.69,,K5V,5.61,4715
HD 8574 b,2.11,,,,,,227.55,0.77,0.77,0.77,,,0.288,0.053,0.053,0.017421,,,,,,,,,,,,,,,,,,,,1,2003,10/8/2009,3.6,10.9,10.9,2451467.5,6.6,6.6,detected by radial velocity,,HD 8574,21.3,28.5666667,7.12,,,,,44.2,0.05,1.17,1.37,F8,7.13,6080
HD 86081 b,1.5,,,,,,2.1375,0.0002,0.0002,0.039,,,0.008,0.004,0.004,0.000429,,,,,,,,,,,,,,,,,,,,1,2006,12/22/2010,251,40,40,2453694.8,0.3,0.3,detected by radial velocity,,HD 86081,149.025,-3.8083333,8.73,,,,,91,0.257,1.21,1.22,F8V,6.21,6028
HD 86226 b,1.5,1,1,,,,1534,280,280,2.6,0.4,0.4,0.73,0.21,0.21,0.061205,,,,,,,,,,,,,,,,,,,,1,2010,1/26/2010,58,50,50,24552240,290,290,detected by radial velocity,,HD 86226,149.125,-24.0994444,7.93,,,,,42.48,-0.04,1.02,,G2V,,
HD 86264 b,7,1.6,1.6,,,,1475,55,55,2.86,0.07,0.07,0.7,0.2,0.2,0.039394,,,,,,,,,,,,,,,,,,,,1,2009,8/13/2009,306,10,10,15172,114,114,detected by radial velocity,,HD 86264,149.2416667,-15.895,7.42,,,,,72.6,0.202,1.42,1.88,F7V,2.24,6210
HD 8673 b,14.2,1.6,1.6,,,,1634,17,17,3.02,0.15,0.15,0.723,0.016,0.016,0.078954,,,,,,,,,,,,,,,,,,,,1,2010,6/24/2010,323.4,3.5,3.5,2454420.5,7.9,7.9,detected by radial velocity,,HD 8673,21.5333333,34.5794444,7.57,,,,,38.25,0,1.312,1.54,F7 V,1.95,6413
HD 87883 b,12.1,10,9.2,,,,2754,87,87,3.6,0.08,0.08,0.53,0.12,0.12,0.198895,8.5,3.7,3.7,,,,,,,,,,,,,,,,,1,2009,1/11/2011,191,15,15,11139,90,90,detected by radial velocity,,HD 87883,152.1791667,34.2422222,7.57,,,,,18.1,0.093,0.82,0.76,K0V,9.8,4980
HD 88133 b,0.22,,,,,,3.416,0.0006,0.0006,0.047,,,0.133,0.072,0.072,0.000631,,,,,,,,,,,,,,,,,,,,1,2004,10/6/2009,349,,,3016.31,0.32,0.32,detected by radial velocity,,HD 88133,152.5291667,18.1866667,8.01,,,,,74.5,0.34,1.2,1.93,G5 IV,9.56,5494
HD 89307 b,2,0.4,0.4,,,,2199,61,61,3.34,0.17,0.17,0.25,0.09,0.09,0.108091,,,,,,,,,,,,,,,,,,,,1,2004,5/25/2012,14,33,33,2454549,190,190,detected by radial velocity,,HD 89307,154.5875,12.6208333,7.06,,,,,30.9,-0.14,1.028,1.05,G0V,6.76,5950
HD 89744 b,7.2,,,,,,256,0.7,0.7,0.88,,,0.7,0.02,0.02,0.022,54,12,12,,,,,,,,,,964,2,2,,,,,1,2000,7/4/2013,195,3,3,,,,detected by radial velocity,,HD 89744,155.5416667,41.2294444,5.74,,,,,40,0.18,1.4,2.14,F7 V,2.04,6196
HD 89744 c,3.2,0.3,0.3,,,,85.2,0.1,0.1,0.44,0.005,0.005,0,0.05,0.05,,,,,,,,,,,,,,,,,,,,,1,2013,7/4/2013,0,86,86,,,,detected by radial velocity,,HD 89744,155.5416667,41.2294444,5.74,,,,,40,0.18,1.4,2.14,F7 V,2.04,6196
HD 90156 b,0.057,0.0046,0.0046,,,,49.77,0.07,0.07,0.25,0.004,0.004,0.31,0.1,0.1,0.006313,,,,,,,,,,,,,,,,,,,,2,2009,10/6/2010,113,18,18,,,,detected by radial velocity,,HD 90156,155.9791667,-29.6455556,6.95,,,,,39.6,-0.24,0.84,,G5V,4.4,5599
HD 92788 b,3.86,,,,,,325.81,0.26,0.26,0.97,,,0.334,0.011,0.011,0.029555,8,8,8,,,,,,,,,,,,,,,,,1,2000,7/4/2013,276.4,2.8,2.8,759.2,,,detected by radial velocity,,HD 92788,160.7,-2.1836111,7.31,,,,,32.82,0.32,1.13,0.99,G5,3.78,5559
HD 92788 c,0.9,0.3,0.3,,,,162,3,3,0.6,0.01,0.01,0.04,0.21,0.21,,,,,,,,,,,,,,,,,,,,,1,2013,7/4/2013,0,20,20,,,,detected by radial velocity,,HD 92788,160.7,-2.1836111,7.31,,,,,32.82,0.32,1.13,0.99,G5,3.78,5559
HD 93083 b,0.37,,,,,,143.58,0.6,0.6,0.477,,,0.14,0.03,0.03,0.016505,,,,,,,,,,,,,,,,,,,,1,2005,12/31/2010,333.5,7.9,7.9,53181.7,3,3,detected by radial velocity,,HD 93083,161.0833333,-33.5769444,8.3,,,,,28.9,0.15,0.7,,K3 V,6,4995
HD 93385 b,0.0263,0.00276,0.00276,,,,13.186,0.0059,0.0059,0.1116,0.0018,0.0018,0.15,0.11,0.11,0.002645,,,,,,,,,,,,,,,,,,,,2,2011,9/12/2011,,,,,,,detected by radial velocity,,HD 93385,161.5625,-41.4644444,7.49,,,,,42.2,,,,G2V,,
HD 93385 c,0.0318,0.00399,0.00399,,,,46.025,0.00725,0.00725,0.257,0.0043,0.0043,0.24,0.18,0.18,0.00609,,,,,,,,,,,,,,,,,,,,2,2011,9/12/2011,,,,,,,detected by radial velocity,,HD 93385,161.5625,-41.4644444,7.49,,,,,42.2,,,,G2V,,
HD 9446 b,0.7,0.06,0.06,,,,30.052,0.027,0.027,0.189,0.006,0.006,0.2,0.06,0.06,0.003566,,,,,,,,,,,,,,,,,,,,1,2010,1/5/2010,-145,30,30,2454854.4,2,2,detected by radial velocity,,HD 9446,23.3333333,29.2652778,8.35,,,,,53,0.09,1,1,G5V,,5793
HD 9446 c,1.82,0.17,0.17,,,,192.9,0.9,0.9,0.654,0.022,0.022,0.06,0.06,0.06,0.01234,,,,,,,,,,,,,,,,,,,,1,2010,1/5/2010,-260,130,130,2454510,70,70,detected by radial velocity,,HD 9446,23.3333333,29.2652778,8.35,,,,,53,0.09,1,1,G5V,,5793
HD 95086 b,4.5,0.5,0.5,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,1000,,,1,2013,9/9/2013,,,,,,,detected by imaging,,HD 95086,164.2625,-68.6672,7.36,,,,,90.4,,1.6,,A8III,0.0135,
